frame,cen_arrow,obj_arrow,speed
1.0,,,
2.0,,,
3.0,,,
4.0,,,
5.0,,,
6.0,,,
7.0,,,
8.0,,,
9.0,,,
10.0,,,
11.0,,,
12.0,,,
13.0,,,
14.0,,,
15.0,,,
16.0,,,
17.0,,,
18.0,,,
19.0,,,
20.0,,,
21.0,,,
22.0,,,
23.0,,,
24.0,,,
25.0,,,
26.0,,,
27.0,,,
28.0,,,
29.0,,,
30.0,,,
31.0,,,
32.0,,,
33.0,,,
34.0,,,
35.0,,,
36.0,,,
37.0,,,
38.0,,,
39.0,,,
40.0,,,
41.0,,,
42.0,,,
43.0,,,
44.0,,,
45.0,,,
46.0,,,
47.0,,,
48.0,,,
49.0,,,
50.0,,,
51.0,,,
52.0,,,
53.0,,,
54.0,,,
55.0,,,
56.0,,,
57.0,,,
58.0,[-80.873604 -58.817177],[-44.72135955 -89.4427191 ],
59.0,[-80.87361  -58.817165],[-44.72135955 -89.4427191 ],
60.0,[-76.82213 -64.01843],[-38.39251263 -92.33642279],197.78969764709473
61.0,[-76.82213 -64.01843],[-38.39251263 -92.33642279],197.78990507125854
62.0,[-70.71068 -70.71068],[-32.05961743 -94.72159696],222.48883724212646
63.0,[-70.71068 -70.71068],[-32.05961743 -94.72159696],234.83830332756042
64.0,[-66.43638  -74.740944],[-25.92760425 -96.58032583],223.11913776397705
65.0,[-66.43638  -74.740944],[-25.92760425 -96.58032583],215.30636072158813
66.0,[-62.469513 -78.08687 ],[-19.95467894 -97.98882992],206.78915568760462
67.0,[-62.469513 -78.08687 ],[-19.95467894 -97.98882992],200.401251912117
68.0,[-58.549072 -81.06791 ],[-13.87416885 -99.0328604 ],194.5513947804769
69.0,[-58.549072 -81.06791 ],[-13.87416885 -99.0328604 ],189.8715090751648
70.0,[-51.449585 -85.74928 ],[ -8.43884568 -99.64329322],195.60453271865845
71.0,[-51.449585 -85.74928 ],[ -8.43884568 -99.64329322],201.33751487731934
72.0,[-47.88521 -87.78956],[ -2.91610131 -99.95747272],186.4698657989502
73.0,[-47.88521 -87.78956],[ -2.91610131 -99.95747272],171.60221672058105
74.0,[-44.72135  -89.442726],[  2.23943824 -99.97492144],164.68715071678162
