                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4578,                 6.9379,                      0,                 3.2138,                 1.4253,                0.33365,                0.86622,                0.46223,                0.33003,                0.00175,                0.00446,                0.00014,                  2e-05,                0.75691,                 6.5994,                      0,                 3.3473,                0.92705,                0.00022,                0.00022,                0.00022
                      1,                0.66921,                 4.1231,                      0,                 1.2837,                0.90891,                0.94821,                0.90353,                 0.9661,                0.79297,                0.58084,                 0.5653,                 0.5236,                0.11629,                0.62277,                 4.1798,                      0,                0.84928,                0.86138,             0.00044109,             0.00044109,             0.00044109
                      2,                0.54275,                 1.9169,                      0,                0.69788,                0.86656,                0.97287,                0.99779,                  0.995,                 0.8684,                0.97167,                0.99658,                0.99493,                0.65317,                0.52001,                  1.521,                      0,                0.53976,                0.82657,             0.00065307,             0.00065307,             0.00065307
                      3,                0.48439,                0.87742,                      0,                0.54367,                0.85188,                0.99845,                      1,                  0.995,                0.91169,                0.99845,                      1,                  0.995,                0.70479,                0.42592,                0.88664,                      0,                0.43624,                0.80622,             0.00085595,             0.00085595,             0.00085595
                      4,                0.45024,                0.64463,                      0,                0.47836,                0.84634,                0.99913,                      1,                  0.995,                0.90662,                0.99913,                      1,                  0.995,                0.85928,                0.41851,                0.52557,                      0,                0.35621,                 0.7935,              0.0009208,              0.0009208,              0.0009208
                      5,                 0.4171,                0.47427,                      0,                0.42822,                0.83664,                0.99928,                      1,                  0.995,                0.92912,                0.99928,                      1,                  0.995,                0.92964,                0.37595,                0.30314,                      0,                0.32466,                0.78724,              0.0009208,              0.0009208,              0.0009208
                      6,                0.37185,                0.39431,                      0,                 0.3873,                0.82664,                 0.9996,                      1,                  0.995,                0.97719,                 0.9996,                      1,                  0.995,                0.97683,                0.26951,                0.16007,                      0,                 0.2928,                0.76915,               0.000901,               0.000901,               0.000901
                      7,                0.36625,                0.35025,                      0,                0.36159,                0.82395,                0.99929,                      1,                  0.995,                0.97376,                0.99929,                      1,                  0.995,                0.99488,                0.26295,                0.10258,                      0,                0.25645,                0.76939,              0.0008812,              0.0008812,              0.0008812
                      8,                0.36663,                0.35137,                      0,                0.35128,                0.82508,                0.99828,                0.99877,                  0.995,                0.95013,                0.99828,                0.99877,                  0.995,                0.99183,                0.29747,                0.11942,                      0,                0.27573,                0.77206,              0.0008614,              0.0008614,              0.0008614
                      9,                0.33036,                0.30799,                      0,                0.32476,                0.82048,                0.99934,                      1,                  0.995,                0.97984,                0.99934,                      1,                  0.995,                0.99451,                0.22575,                0.08642,                      0,                0.24276,                0.76439,              0.0008416,              0.0008416,              0.0008416
                     10,                0.33384,                0.25739,                      0,                0.31678,                0.81938,                0.99958,                      1,                  0.995,                0.97021,                0.99958,                      1,                  0.995,                  0.995,                0.28223,                0.07935,                      0,                0.25841,                0.77276,              0.0008218,              0.0008218,              0.0008218
